iter	Logloss
0	0.6928428351
1	0.6925197587
2	0.6921239927
3	0.6917384845
4	0.6914157239
5	0.6910175538
6	0.6906285991
7	0.6902169925
8	0.689817772
9	0.6895013258
10	0.6891036267
11	0.688717654
12	0.6883294176
13	0.6879828059
14	0.6876238738
15	0.6872444609
16	0.6868653912
17	0.6864902457
18	0.686125059
19	0.6857628016
20	0.6853596991
21	0.6849884126
22	0.6846122745
23	0.6842373599
24	0.6838418325
25	0.6834871829
26	0.6831064933
27	0.6827361759
28	0.6823318832
29	0.6819316415
30	0.6816119077
31	0.6812655521
32	0.6808960414
33	0.6805111283
34	0.6801471253
35	0.6798220702
36	0.6794310068
37	0.6790431073
38	0.6786641766
39	0.6782816831
40	0.6779760789
41	0.6776107917
42	0.6772099345
43	0.6768392334
44	0.676444314
45	0.6760679576
46	0.6756806063
47	0.675322827
48	0.6749232135
49	0.6745488802
50	0.6741938182
51	0.6737980649
52	0.6733913595
53	0.6730666511
54	0.6726875379
55	0.6723210217
56	0.6719596717
57	0.6715596161
58	0.6711609146
59	0.6707870634
