iter	Passed	Remaining
0	15	900
1	30	873
2	44	844
3	60	843
4	73	812
5	88	797
6	102	776
7	106	692
8	120	681
9	133	667
10	157	701
11	175	700
12	188	681
13	202	666
14	215	646
15	217	598
16	230	583
17	244	571
18	259	560
19	275	551
20	290	540
21	306	528
22	308	496
23	323	485
24	339	475
25	354	463
26	370	452
27	384	439
28	400	428
29	415	415
30	430	402
31	445	390
32	460	376
33	475	363
34	491	351
35	506	337
36	520	323
37	534	309
38	549	295
39	552	276
40	566	262
41	582	249
42	596	235
43	599	217
44	600	200
45	615	187
46	629	174
47	643	160
48	647	145
49	660	132
50	674	118
51	688	105
52	696	91
53	711	79
54	725	65
55	740	52
56	754	39
57	768	26
58	783	13
59	797	0
